season,winslot,Aslot,Bslot,Aseed,Bseed,Aname,Bname,Awins,Bwins,Alosses,Blosses,daynum,Aregion,Bregion,winner,teamA,teamB,Aminscore,Bminscore,Amaxscore,Bmaxscore,Aqvgscore,Bqvgscore,Astdscore,Bstdscore,Agamescore,Bgamescore
K,R3X1,R2X1,R2X4,01,13,Memphis,Bradley,30,20,3,10,143,Oakland,Oakland,A,666,530,57.0,46.0,108.0,93.0,80.909090909090907,71.533333333333331,11.927466738998579,11.19146500190609,80,64
A,R1Z4,Z04,Z13,04,13,Syracuse,Montana St,24,19,8,8,136,West,West,A,786,681,47.0,58.0,97.0,121.0,76.65625,81.18518518518519,9.9234865817161264,12.884205194121403,88,55
J,R1Y3,Y03,Y14,03,14,Oklahoma,Niagara,24,20,7,9,136,Austin,Austin,A,721,704,61.0,68.0,104.0,113.0,75.41935483870968,85.172413793103445,11.619711266049062,12.171388058765158,84,67
P,R1W7,W07,W10,07,10,Washington,Georgia,23,21,10,11,137,East,East,A,840,604,56.0,56.0,118.0,98.0,83.515151515151516,68.8125,15.784766749644403,11.167580031054177,68,65
H,R1Y1,Y01,Y16,01,16,Kentucky,IUPUI,29,19,3,13,137,Midwest,Midwest,A,640,631,61.0,45.0,115.0,98.0,77.53125,71.25,12.703307578638722,12.155245781143218,95,64
C,R2Y1,R1Y1,R1Y8,01,08,Kansas,Rhode Island,33,22,3,8,139,Midwest,Midwest,B,636,741,65.0,57.0,111.0,96.0,83.694444444444443,77.13333333333334,11.3500353510082,9.3763295353542038,75,80
E,R1Z7,Z07,Z10,07,10,Tulsa,UNLV,29,23,4,7,137,South,South,A,802,817,59.0,52.0,113.0,104.0,81.242424242424249,82.86666666666666,12.417071101073285,10.917061061577984,89,62
E,R3X2,R2X2,R2X3,10,06,Gonzaga,Purdue,24,20,8,9,143,West,West,B,607,738,48.0,45.0,111.0,97.0,77.9375,74.0,14.019935582947591,12.918844829323477,66,75
B,R1Y3,Y03,Y14,03,14,Cincinnati,Butler,25,21,7,9,136,Midwest,Midwest,A,549,535,55.0,48.0,105.0,89.0,80.96875,68.666666666666671,13.21572069307989,11.121550651275607,86,69
O,R1W2,W02,W15,02,15,West Virginia,Morgan St,27,27,6,9,137,East,East,A,843,683,53.0,48.0,95.0,100.0,72.969696969696969,76.75,9.9589607845483883,11.275280237956148,77,50
J,R3Y1,R2Y1,R2Y4,01,05,Duke,Michigan St,25,22,5,6,144,Austin,Austin,B,577,671,58.0,59.0,102.0,104.0,79.766666666666666,78.071428571428569,12.093202865889401,12.392188125210666,68,78
L,R2X1,R1X1,R1X8,01,09,Ohio St,Xavier,30,24,3,8,138,South,South,A,720,853,49.0,56.0,107.0,98.0,73.63636363636364,76.40625,11.514992024413827,10.337611471587621,78,71
A,R1Z8,Z08,Z09,08,09,Georgia,Clemson,19,18,9,10,136,West,West,A,604,551,62.0,48.0,103.0,91.0,79.214285714285708,67.75,10.143108648793252,12.228844706559277,81,74
H,R1Z1,Z01,Z16,01,16,Arizona,Vermont,25,19,3,10,136,West,West,A,511,828,65.0,50.0,107.0,101.0,85.214285714285708,67.793103448275858,10.192283996299578,11.78654788554579,80,51
O,R2Z2,R1Z2,R1Z7,02,07,Kansas St,BYU,25,28,7,5,138,West,West,A,637,536,63.0,61.0,95.0,110.0,79.46875,82.606060606060609,8.8104496728316875,11.997321402913723,84,72
Q,R1Y2,Y02,Y15,02,15,Duke,Lehigh,27,25,6,7,137,South,South,B,577,644,59.0,56.0,110.0,90.0,77.515151515151516,75.625,10.40722712792388,8.4696148082424614,70,75
Q,R1X4,X04,X13,04,13,Michigan,Ohio,23,26,9,7,137,Midwest,Midwest,B,670,719,49.0,54.0,90.0,88.0,66.75,70.212121212121218,9.1583295420071007,9.8434952395357076,60,65
D,R2X3,R1X3,R1X6,03,06,Kentucky,Kansas,25,21,8,9,139,Midwest,Midwest,A,640,636,46.0,45.0,103.0,107.0,75.515151515151516,70.200000000000003,13.729245961596465,12.762967262095962,92,88
K,R1Z6,Z06,Z11,06,11,Michigan St,George Mason,21,23,11,7,137,WashingtonDC,WashingtonDC,B,671,602,48.0,49.0,106.0,95.0,73.9375,69.400000000000006,13.193126761689209,9.6939843889565509,65,75
P,R2W1,R1W1,R1W8,01,08,Ohio St,George Mason,32,26,2,6,139,East,East,A,720,602,58.0,60.0,102.0,87.0,77.088235294117652,73.34375,11.968998304587771,8.0916985817255949,98,66
H,R1Y5,Y05,Y12,05,12,Wisconsin,Weber St,22,25,7,4,136,Midwest,Midwest,A,849,842,50.0,58.0,91.0,97.0,70.724137931034477,74.206896551724142,10.689655172413795,9.4189072883503755,81,74
I,R1Y8,Y08,Y09,08,09,Texas Tech,Charlotte,22,21,10,8,136,EastRutherford,EastRutherford,A,796,546,44.0,45.0,97.0,105.0,73.40625,79.34482758620689,11.645437344191931,12.8446308709769,76,73
F,R1X5,X05,X12,05,12,Cincinnati,BYU,23,24,9,8,136,West,West,A,549,536,44.0,51.0,105.0,100.0,74.09375,70.78125,13.363568420803629,10.896485600297924,84,59
D,R2Y4,R1Y4,R1Y5,04,12,Ohio St,Detroit,23,23,8,5,138,South,South,A,720,574,59.0,43.0,99.0,84.0,75.516129032258064,64.214285714285708,9.8925549318730042,10.90005616911197,75,44
J,R1Z4,Z04,Z13,04,13,Florida,Ohio,23,21,7,10,137,Syracuse,Syracuse,A,592,719,50.0,49.0,100.0,92.0,76.86666666666666,71.806451612903231,12.219474438598231,10.72657043119564,67,62
A,R3Z2,R2Z2,R2Z3,02,03,Kansas,Arizona,25,24,4,6,144,West,West,A,636,511,55.0,66.0,108.0,108.0,80.34482758620689,81.200000000000003,11.806707217302421,9.7036075765665633,83,80
O,R1Z3,Z03,Z14,03,14,Pittsburgh,Oakland,24,24,8,8,137,West,West,A,731,718,45.0,42.0,98.0,99.0,68.09375,75.21875,10.866690431658574,13.247014699074656,89,66
O,X16,X16a,X16b,16,16,Ark Pine Bluff,Winthrop,17,17,15,13,134,South,South,A,514,848,46.0,47.0,93.0,96.0,64.40625,62.56666666666667,11.754944106098506,11.482401994162874,61,44
J,R1X1,X01,X16,01,16,Illinois,F Dickinson,32,19,1,12,136,Chicago,Chicago,A,623,588,54.0,56.0,105.0,103.0,77.424242424242422,74.161290322580641,11.444279510610883,10.931153391298645,67,55
G,R1Y1,Y01,Y16,01,16,Duke,Winthrop,29,17,3,11,136,South,South,A,577,848,60.0,48.0,108.0,100.0,89.71875,68.571428571428569,11.037533621126597,10.949326696287805,84,37
Q,R1Y3,Y03,Y14,03,14,Baylor,S Dakota St,26,25,7,7,136,South,South,A,521,748,54.0,52.0,106.0,97.0,74.272727272727266,76.375,11.155302387199653,10.919449390880477,68,60
D,R2Y1,R1Y1,R1Y8,01,09,Auburn,Oklahoma St,27,21,3,10,138,South,South,A,518,722,57.0,37.0,114.0,93.0,81.833333333333329,70.129032258064512,12.479538809142303,12.653552186419564,81,74
H,R2Z2,R1Z2,R1Z7,02,10,Kansas,Arizona St,23,18,7,11,138,West,West,A,636,512,56.0,55.0,105.0,108.0,81.333333333333329,75.965517241379317,11.987030027862986,11.760491306358935,108,76
O,R1X4,X04,X13,04,13,Purdue,Siena,27,27,5,6,137,South,South,A,738,766,42.0,53.0,101.0,99.0,71.09375,75.454545454545453,12.073626668797575,10.009362008824114,72,64
M,R1Z2,Z02,Z15,02,15,Duke,Belmont,27,24,5,8,136,West,West,A,577,522,64.0,49.0,121.0,99.0,84.125,79.3125,11.491165084533423,9.4519756532695318,71,70
N,R2Z3,R1Z3,R1Z6,03,06,Missouri,Marquette,28,24,6,9,139,West,West,A,676,660,51.0,56.0,107.0,106.0,81.117647058823536,78.848484848484844,13.551133457872798,11.034714402590584,83,79
E,R1Z4,Z04,Z13,04,13,Tennessee,ULL,23,25,6,8,137,South,South,A,790,811,60.0,47.0,110.0,101.0,80.34482758620689,72.151515151515156,12.332395975134551,13.724830875198453,63,58
C,R1X2,X02,X15,02,15,Cincinnati,Northern Arizona,26,19,5,7,136,West,West,A,549,713,60.0,62.0,109.0,105.0,76.483870967741936,80.15384615384616,12.918780946538298,11.033837144446963,65,62
Q,R1Y4,Y04,Y13,04,13,Indiana,New Mexico St,25,24,8,9,136,South,South,A,625,702,50.0,58.0,107.0,115.0,77.272727272727266,77.393939393939391,12.383451144933433,11.502145765397346,79,66
O,R1Y8,Y08,Y09,08,09,UNLV,Northern Iowa,24,28,8,4,136,Midwest,Midwest,B,817,714,45.0,51.0,88.0,84.0,72.75,63.3125,9.320675941153624,8.8191464297855955,66,69
O,R1X1,X01,X16,01,16,Duke,Ark Pine Bluff,29,17,5,15,137,South,South,A,577,514,57.0,46.0,114.0,93.0,77.970588235294116,64.40625,13.954727839185683,11.754944106098506,73,44
F,R1Z3,Z03,Z14,03,14,Florida,W Kentucky,23,22,6,6,137,South,South,A,592,835,61.0,55.0,125.0,107.0,82.275862068965523,74.678571428571431,14.132126647011836,13.80489967736241,69,56
J,R2W4,R1W4,R1W5,04,05,Louisville,Georgia Tech,27,19,4,11,139,Albuquerque,Albuquerque,A,651,606,53.0,51.0,107.0,102.0,80.548387096774192,74.566666666666663,13.835062306019672,12.287346698489829,76,54
L,R1X4,X04,X13,04,13,Virginia,Albany NY,19,23,10,9,137,South,South,A,830,507,57.0,52.0,108.0,87.0,77.448275862068968,68.25,13.389615654385901,8.9092648406027308,84,57
K,R5YZ,R4Y1,R4Z1,03,11,Florida,George Mason,27,23,6,7,152,Minneapolis,WashingtonDC,A,592,602,49.0,49.0,113.0,95.0,79.272727272727266,69.400000000000006,11.330497133367812,9.6939843889565509,73,58
E,R1X7,X07,X10,07,10,Louisville,Gonzaga,18,24,11,8,136,West,West,B,651,607,46.0,48.0,115.0,111.0,72.241379310344826,77.9375,14.73128309231001,14.019935582947591,66,77
I,R1X7,X07,X10,07,10,DePaul,Dayton,21,24,9,8,136,Phoenix,Phoenix,A,573,569,50.0,49.0,89.0,90.0,70.86666666666666,67.96875,9.0249038160464004,9.8154354685617484,76,69
D,R1Z4,Z04,Z13,04,13,Arkansas,Siena,22,25,10,5,136,West,West,A,515,766,57.0,56.0,118.0,107.0,78.40625,86.933333333333337,14.308780903260068,10.052970815745075,94,80
Q,R2W2,R1W2,R1W7,02,07,Ohio St,Gonzaga,27,25,7,6,138,East,East,A,720,607,48.0,62.0,107.0,92.0,74.764705882352942,73.967741935483872,11.350197778866109,7.0137370783606121,73,66
R,R1Z7,Z07,Z10,07,10,Notre Dame,Iowa St,25,22,9,11,137,West,West,B,717,629,47.0,51.0,104.0,98.0,70.352941176470594,79.63636363636364,13.457738541211098,9.7819195668960166,58,76
D,R1Z8,Z08,Z09,08,09,Missouri,New Mexico,20,23,8,8,136,West,West,B,676,701,54.0,39.0,96.0,102.0,72.214285714285708,75.903225806451616,10.097231384525815,17.064119758796814,59,61
L,R2Z3,R1Z3,R1Z6,03,11,Pittsburgh,VA Commonwealth,27,27,7,6,138,West,West,A,731,825,42.0,53.0,89.0,102.0,71.147058823529406,74.787878787878782,10.519260634220327,11.055665147972578,84,79
R,R1W6,W06,W11,06,11,Butler,Bucknell,25,27,8,5,136,East,East,A,535,533,47.0,56.0,88.0,88.0,68.424242424242422,67.25,9.7794785230938945,7.0089228844380935,68,56
H,R1X8,X08,X09,08,09,LSU,Purdue,21,18,10,10,137,South,South,B,655,738,53.0,42.0,112.0,95.0,73.225806451612897,71.75,13.282804011734569,12.534594984624411,56,80
R,R4X1,R3X1,R3X2,04,03,Michigan,Florida,25,26,7,7,146,South,South,A,670,592,52.0,57.0,95.0,84.0,74.375,71.63636363636364,11.09264959331178,8.6368420920099069,79,59
A,R1X3,X03,X14,03,14,Villanova,Portland,25,17,6,10,137,Midwest,Midwest,A,829,732,56.0,43.0,94.0,97.0,75.354838709677423,75.666666666666671,8.8081647866890691,12.768595734732815,92,58
G,R6CH,R5WX,R5YZ,01,05,Maryland,Indiana,26,19,4,11,154,East,South,A,662,625,56.0,49.0,112.0,88.0,85.299999999999997,69.166666666666671,12.36702605048333,10.705398430490831,64,52
B,R2W2,R1W2,R1W7,15,10,Coppin St,Texas,21,16,8,11,139,East,East,B,560,793,55.0,57.0,96.0,104.0,79.103448275862064,76.81481481481481,10.093852098102047,11.323646307901317,81,82
F,R1Z8,Z08,Z09,08,09,California,Fresno St,20,25,10,6,137,South,South,B,539,597,52.0,60.0,95.0,108.0,74.466666666666669,82.0,10.575863505590874,12.381046909718304,70,82
N,R4Z1,R3Z1,R3Z2,01,03,Connecticut,Missouri,27,28,4,6,145,West,West,A,559,676,60.0,51.0,117.0,107.0,77.322580645161295,81.117647058823536,13.0344137469764,13.551133457872798,82,75
O,R2X1,R1X1,R1X8,01,08,Duke,California,29,23,5,10,139,South,South,A,577,539,57.0,62.0,114.0,95.0,77.970588235294116,77.969696969696969,13.954727839185683,10.03172195401757,68,53
E,R2X4,R1X4,R1X5,04,05,LSU,Texas,26,23,5,8,138,West,West,A,655,793,55.0,45.0,112.0,99.0,77.225806451612897,74.709677419354833,14.329553664388975,10.662546897789225,72,67
N,R2X3,R1X3,R1X6,03,06,Syracuse,Arizona St,25,24,9,9,139,South,South,A,786,512,49.0,49.0,127.0,90.0,80.970588235294116,69.545454545454547,14.207465506717496,11.65954131092931,78,67
A,R2W4,R1W4,R1W5,04,12,Marquette,Arkansas,22,18,7,12,138,East,East,B,660,515,46.0,59.0,103.0,116.0,73.620689655172413,78.200000000000003,12.914610259123791,12.962510044997716,56,65
R,R1X4,X04,X13,04,13,Michigan,S Dakota St,25,22,7,9,136,South,South,A,670,748,52.0,49.0,95.0,100.0,74.375,72.645161290322577,11.09264959331178,9.8063455002747908,71,56
E,R4X1,R3X1,R3X2,08,06,Wisconsin,Purdue,18,20,13,9,145,West,West,A,849,738,44.0,45.0,86.0,97.0,59.967741935483872,74.0,10.544785811213542,12.918844829323477,64,60
D,R2W2,R1W2,R1W7,02,10,Miami FL,Purdue,22,19,6,12,139,East,East,B,668,738,54.0,43.0,103.0,101.0,72.857142857142861,69.096774193548384,10.449587434488524,13.646114509525264,63,73
R,R5YZ,R4Y1,R4Z1,01,09,Louisville,Wichita St,29,26,5,8,152,Midwest,West,A,651,846,51.0,52.0,101.0,94.0,73.558823529411768,69.441176470588232,10.806292220604318,9.2678799418160871,72,68
N,R1W4,W04,W13,04,13,Xavier,Portland St,25,22,7,9,137,East,East,A,853,733,53.0,57.0,88.0,93.0,72.375,73.709677419354833,8.8978578882785033,9.2499121125278858,77,59
G,R1W8,W08,W09,08,09,Wisconsin,St John's,17,20,12,11,137,East,East,A,849,778,48.0,54.0,94.0,97.0,66.517241379310349,70.322580645161295,10.704883480031269,11.300548364582603,80,70
R,R4Z1,R3Z1,R3Z2,09,02,Wichita St,Ohio St,26,26,8,7,145,West,West,A,846,720,52.0,49.0,94.0,91.0,69.441176470588232,69.303030303030297,9.2678799418160871,10.737882101670923,70,66
M,R2Y1,R1Y1,R1Y8,01,08,Memphis,Mississippi St,33,22,1,10,139,South,South,A,666,675,56.0,49.0,104.0,95.0,79.67647058823529,73.09375,12.18176213524641,11.492822148519483,77,74
R,R1W8,W08,W09,08,09,NC State,Temple,24,23,10,9,137,East,East,B,695,789,50.0,52.0,97.0,89.0,77.529411764705884,72.75,11.566267622392401,9.1035707280165621,72,76
R,R2Y3,R1Y3,R1Y6,03,06,Michigan St,Memphis,24,30,8,4,138,Midwest,Midwest,A,671,666,49.0,52.0,84.0,94.0,67.5,75.852941176470594,8.5073497635867774,11.183318335652427,70,48
C,R1Z8,Z08,Z09,08,09,Oklahoma St,G Washington,21,24,6,8,137,South,South,A,722,599,60.0,48.0,103.0,101.0,79.296296296296291,73.59375,12.014851349444383,13.392767112792637,74,59
O,R1X7,X07,X10,07,10,Richmond,St Mary's CA,26,25,8,5,136,South,South,B,743,781,52.0,49.0,103.0,101.0,69.294117647058826,78.799999999999997,11.236833895104047,10.983017193224576,71,80
A,R1X4,X04,X13,04,13,Utah,Canisius,23,19,6,10,136,Midwest,Midwest,A,821,541,56.0,52.0,108.0,82.0,76.41379310344827,66.551724137931032,11.439547981723724,7.7796649466748118,72,43
I,R1X5,X05,X12,05,12,Syracuse,BYU,21,19,7,8,136,Phoenix,Phoenix,A,786,536,45.0,46.0,101.0,90.0,72.928571428571431,72.18518518518519,14.596791651955996,12.301872898772702,80,75
F,R2Z3,R1Z3,R1Z6,03,11,Florida,Temple,23,21,6,12,139,South,South,B,592,789,61.0,51.0,125.0,92.0,82.275862068965523,69.818181818181813,14.132126647011836,10.276346908562592,54,75
P,R1X8,X08,X09,08,09,Michigan,Tennessee,19,19,13,14,137,West,West,A,670,790,50.0,48.0,87.0,104.0,65.5,70.63636363636364,9.6371676336981906,10.767003977692561,75,45
H,R1W8,W08,W09,08,09,California,NC State,21,18,8,12,136,East,East,A,539,695,58.0,54.0,88.0,104.0,74.482758620689651,72.400000000000006,7.6231077455560561,12.483589227461788,76,74
B,R1Z3,Z03,Z14,03,14,Wake Forest,St Mary's CA,23,21,6,7,137,West,West,A,839,781,51.0,56.0,92.0,94.0,69.103448275862064,70.892857142857139,10.525321938187785,10.143045772893879,68,46
C,R2W2,R1W2,R1W7,02,07,Connecticut,Indiana,29,19,4,11,138,East,East,A,559,625,59.0,53.0,100.0,103.0,76.545454545454547,76.5,10.976810015971024,11.1257958516833,78,68
P,R1X6,X06,X11,06,11,Cincinnati,Missouri,25,22,8,10,136,West,West,A,549,676,51.0,58.0,99.0,116.0,68.969696969696969,80.84375,12.71955032673063,12.303732601836728,78,63
A,R1X5,X05,X12,05,12,Iowa St,California,22,17,8,10,136,Midwest,Midwest,A,629,539,46.0,53.0,87.0,112.0,66.86666666666666,76.037037037037038,10.42347777322372,15.732677673441541,74,64
B,R1W7,W07,W10,07,10,Wisconsin,Texas,18,16,9,11,137,East,East,B,849,793,42.0,57.0,77.0,104.0,59.111111111111114,76.81481481481481,9.3386228397558639,11.323646307901317,58,71
F,R3X2,R2X2,R2X3,10,03,Georgetown,Maryland,23,21,7,10,143,West,West,B,603,662,40.0,62.0,123.0,123.0,78.966666666666669,85.741935483870961,14.232552671799796,14.895263897510604,66,76
F,R1W6,W06,W11,06,11,USC,Oklahoma St,20,19,9,9,136,East,East,A,818,722,52.0,52.0,107.0,94.0,77.310344827586206,71.464285714285708,11.876094354730988,9.9659496818529281,69,54
Q,R3X2,R2X2,R2X3,02,11,Kansas,NC State,27,22,6,12,144,Midwest,Midwest,A,636,695,59.0,55.0,100.0,91.0,75.030303030303031,73.382352941176464,9.8118198617321628,9.1394899647961196,60,57
H,R2X4,R1X4,R1X5,04,05,Stanford,Connecticut,23,21,8,9,138,South,South,B,783,559,52.0,56.0,93.0,117.0,72.258064516129039,80.033333333333331,9.8863468641565628,14.206766775808712,74,85
E,R1W3,W03,W14,03,14,Maryland,Iona,24,20,9,10,136,Midwest,Midwest,A,662,627,58.0,64.0,104.0,98.0,76.939393939393938,79.466666666666669,10.921037229958751,9.8106518075451472,74,59
D,R1X3,X03,X14,03,14,Kentucky,New Mexico St,25,21,8,8,137,Midwest,Midwest,A,640,702,46.0,43.0,103.0,89.0,75.515151515151516,68.241379310344826,13.729245961596465,12.729696944719443,82,60
N,R1W2,W02,W15,02,15,Duke,Binghamton,28,22,6,8,136,East,East,A,577,524,47.0,51.0,101.0,91.0,78.029411764705884,69.900000000000006,10.672904930429167,9.1372862492098843,86,62
R,R2Z1,R1Z1,R1Z8,01,09,Gonzaga,Wichita St,30,26,2,8,138,West,West,B,607,846,57.0,52.0,103.0,94.0,76.8125,69.441176470588232,10.100858564993374,9.2678799418160871,70,76
J,R3X2,R2X2,R2X3,02,03,Oklahoma St,Arizona,23,27,6,6,143,Chicago,Chicago,B,722,511,57.0,48.0,104.0,105.0,78.103448275862064,79.666666666666671,9.2934712997377211,13.537079642689751,78,79
O,R2Y1,R1Y1,R1Y8,01,09,Kansas,Northern Iowa,32,28,2,4,138,Midwest,Midwest,B,636,714,57.0,51.0,112.0,84.0,81.764705882352942,63.3125,11.214640702669229,8.8191464297855955,67,69
J,R5WX,R4W1,R4X1,04,01,Louisville,Illinois,27,32,4,1,152,Albuquerque,Chicago,B,651,623,53.0,54.0,107.0,105.0,80.548387096774192,77.424242424242422,13.835062306019672,11.444279510610883,57,72
C,R1W5,W05,W12,05,12,Princeton,UNLV,25,19,1,12,136,East,East,A,736,817,38.0,50.0,86.0,96.0,67.07692307692308,69.612903225806448,11.228134569783165,11.51346314132997,69,57
A,R1X8,X08,X09,08,09,WI Green Bay,Virginia Tech,24,22,3,5,136,Midwest,Midwest,B,844,831,44.0,41.0,90.0,99.0,65.555555555555557,70.925925925925924,10.891156226526975,12.430327089424019,48,61
E,R1W8,W08,W09,08,09,Utah,St Louis,20,19,8,13,136,Midwest,Midwest,A,821,780,48.0,38.0,96.0,84.0,71.5,64.96875,11.632773898405684,11.967362843897565,48,45
E,R1Y2,Y02,Y15,02,15,Temple,Lafayette,26,22,5,6,137,East,East,A,789,642,44.0,57.0,98.0,92.0,68.451612903225808,74.107142857142861,11.210129951413386,9.2324709806293601,73,47
K,R2W4,R1W4,R1W5,04,12,LSU,Texas A&M,22,21,8,8,138,Atlanta,Atlanta,A,655,794,50.0,44.0,104.0,101.0,74.766666666666666,69.206896551724142,11.881872280448436,13.448187444448514,58,57
I,R2W3,R1W3,R1W6,03,06,Texas,North Carolina,23,18,7,10,138,Atlanta,Atlanta,A,793,708,48.0,56.0,122.0,115.0,77.13333333333334,83.071428571428569,15.664680725192655,14.478872715168153,78,75
G,R1W3,W03,W14,03,14,Georgia,Murray St,21,17,9,12,137,East,East,A,604,687,44.0,58.0,95.0,103.0,76.166666666666671,77.137931034482762,11.000252522354002,12.386656162653239,85,68
I,R1W3,W03,W14,03,14,Texas,Princeton,23,19,7,7,136,Atlanta,Atlanta,A,793,736,48.0,44.0,122.0,78.0,77.13333333333334,62.5,15.664680725192655,9.3859551376593444,66,49
I,R3Y1,R2Y1,R2Y4,01,04,St Joseph's PA,Wake Forest,27,19,1,9,143,EastRutherford,EastRutherford,A,779,839,57.0,66.0,114.0,119.0,77.785714285714292,83.821428571428569,11.155898961206715,11.272766080338972,84,80
N,R1Z4,Z04,Z13,04,13,Washington,Mississippi St,25,22,8,12,136,West,West,A,840,675,54.0,52.0,103.0,95.0,78.939393939393938,74.029411764705884,9.6418890200579881,10.03958428398087,71,58
E,R1Y3,Y03,Y14,03,14,Oklahoma St,Hofstra,23,24,6,6,137,East,East,A,722,615,53.0,46.0,103.0,92.0,75.896551724137936,74.700000000000003,14.525470679266167,10.997423940784195,86,66
J,R3W1,R2W1,R2W4,01,04,Washington,Louisville,26,27,5,4,143,Albuquerque,Albuquerque,B,840,651,66.0,53.0,114.0,107.0,86.225806451612897,80.548387096774192,13.314337839020434,13.835062306019672,79,93
R,R3X2,R2X2,R2X3,15,03,FL Gulf Coast,Florida,22,26,10,7,144,South,South,B,591,592,50.0,57.0,96.0,84.0,72.34375,71.63636363636364,9.3294204502476994,8.6368420920099069,50,62
H,R5WX,R4W1,R4X1,03,01,Syracuse,Texas,24,22,5,6,152,East,South,A,786,793,54.0,57.0,109.0,100.0,80.103448275862064,78.857142857142861,13.20487064681244,9.8260378794386529,95,84
P,R3W2,R2W2,R2W3,02,11,North Carolina,Marquette,26,20,7,14,144,East,East,A,708,660,48.0,56.0,107.0,102.0,76.666666666666671,76.088235294117652,13.697304903380138,11.228555108605454,81,63
A,R1Y4,Y04,Y13,04,13,UCLA,Princeton,23,20,7,6,136,Southeast,Southeast,B,810,736,61.0,35.0,109.0,88.0,78.599999999999994,59.807692307692307,11.050188535344844,10.644678088022818,41,43
K,R2Z2,R1Z2,R1Z7,02,07,Tennessee,Wichita St,21,23,7,8,138,WashingtonDC,WashingtonDC,B,790,846,64.0,49.0,106.0,97.0,81.321428571428569,68.322580645161295,10.54261275365217,11.844114086818012,73,80
N,R2W3,R1W3,R1W6,03,06,Villanova,UCLA,26,25,7,8,138,East,East,A,829,810,54.0,52.0,107.0,113.0,76.545454545454547,76.0,13.724763969027288,12.497272429687134,89,69
P,R1Y8,Y08,Y09,08,09,Butler,Old Dominion,22,27,9,6,136,Southeast,Southeast,A,535,723,49.0,45.0,91.0,81.0,72.483870967741936,65.848484848484844,10.095898137816029,10.129827579738215,60,58
J,R1X6,X06,X11,06,11,LSU,UAB,20,21,9,10,136,Chicago,Chicago,B,655,805,55.0,59.0,113.0,107.0,75.482758620689651,77.806451612903231,13.591632034289667,11.125151263455047,68,82
P,R2Z4,R1Z4,R1Z5,13,12,Morehead St,Richmond,22,27,9,7,138,Southwest,Southwest,B,682,743,40.0,53.0,85.0,90.0,68.870967741935488,70.17647058823529,11.872282535884271,9.0243806638894615,48,65
N,R1Y5,Y05,Y12,05,12,Utah,Arizona,24,19,8,13,137,Midwest,Midwest,B,821,511,50.0,47.0,95.0,106.0,70.96875,72.1875,11.949069982115763,13.725973326143396,71,84
Q,R5WX,R4W1,R4X1,02,02,Ohio St,Kansas,27,27,7,6,152,East,Midwest,B,720,636,48.0,59.0,107.0,100.0,74.764705882352942,75.030303030303031,11.350197778866109,9.8118198617321628,62,64
J,R1X2,X02,X15,02,15,Oklahoma St,SE Louisiana,23,19,6,8,137,Chicago,Chicago,A,722,761,57.0,48.0,104.0,77.0,78.103448275862064,61.296296296296298,9.2934712997377211,7.8401380128385911,63,50
H,R4W1,R3W1,R3W2,01,03,Oklahoma,Syracuse,24,24,6,5,146,East,East,B,721,786,45.0,54.0,100.0,109.0,71.166666666666671,80.103448275862064,13.537807142304185,13.20487064681244,47,63
N,R1Z8,Z08,Z09,08,09,BYU,Texas A&M,24,23,7,9,136,West,West,B,536,794,54.0,53.0,94.0,96.0,77.193548387096769,71.71875,9.7729691557185649,11.694641868714919,66,79
M,R3Z1,R2Z1,R2Z4,01,12,UCLA,W Kentucky,30,25,3,6,143,West,West,A,810,835,56.0,61.0,89.0,96.0,74.030303030303031,76.612903225806448,8.7680026006578231,9.8690700263086164,88,78
O,R1Y7,Y07,Y10,07,10,Oklahoma St,Georgia Tech,22,21,10,12,137,Midwest,Midwest,B,722,606,57.0,57.0,97.0,100.0,74.3125,72.515151515151516,10.318180253804448,9.8476922758005259,59,64
H,R2Y1,R1Y1,R1Y8,01,09,Kentucky,Utah,29,23,3,7,139,Midwest,Midwest,A,640,821,61.0,41.0,115.0,86.0,77.53125,66.733333333333334,12.703307578638722,12.082862059775225,74,54
D,R3Y1,R2Y1,R2Y4,01,04,Auburn,Ohio St,27,23,3,8,143,South,South,B,518,720,57.0,59.0,114.0,99.0,81.833333333333329,75.516129032258064,12.479538809142303,9.8925549318730042,64,72
R,R2Z4,R1Z4,R1Z5,13,12,La Salle,Mississippi,21,26,9,8,139,West,West,A,641,674,54.0,62.0,100.0,95.0,72.433333333333337,77.882352941176464,11.397904290799348,11.023410131817469,76,74
Q,R3Z1,R2Z1,R2Z4,01,04,Michigan St,Louisville,27,26,7,9,143,West,West,B,671,651,41.0,49.0,110.0,95.0,72.147058823529406,68.828571428571422,13.180048096272985,12.236913042770491,44,57
P,W12,W12a,W12b,12,12,Clemson,UAB,21,22,11,8,134,East,East,A,551,805,47.0,47.0,87.0,100.0,68.25,68.900000000000006,8.9721792224631809,9.4033681908842297,70,52
J,R1Z7,Z07,Z10,07,10,Charlotte,NC State,21,19,7,13,137,Syracuse,Syracuse,B,546,695,51.0,45.0,101.0,100.0,78.357142857142861,73.84375,11.647238439445898,12.394831016899746,63,75
M,R2Y3,R1Y3,R1Y6,03,06,Stanford,Marquette,26,23,7,9,138,South,South,A,783,660,52.0,51.0,111.0,100.0,70.666666666666671,75.90625,11.226771755068508,11.654825650240333,82,81
